Country,Clicks,Impressions,CTR,Position
Egypt,44.0,1607.0,2.74%,5.88
India,38.0,4188.0,0.91%,41.78
United Arab Emirates,34.0,1943.0,1.75%,11.48
Saudi Arabia,17.0,1617.0,1.05%,27.12
United States,9.0,10380.0,0.09%,30.34
Iran,8.0,58.0,13.79%,6.79
United Kingdom,7.0,2676.0,0.26%,23.17
Iraq,7.0,281.0,2.49%,6.93
Turkey,5.0,176.0,2.84%,28.36
Germany,4.0,1243.0,0.32%,21.53
Kuwait,4.0,227.0,1.76%,8.03
Pakistan,4.0,132.0,3.03%,11.66
Qatar,4.0,121.0,3.31%,12.7
Canada,3.0,173.0,1.73%,11.28
Ethiopia,3.0,20.0,15.00%,7.8
Romania,3.0,12.0,25.00%,4.25
Singapore,2.0,986.0,0.20%,43.98
Vietnam,2.0,146.0,1.37%,32.66
Bahrain,2.0,93.0,2.15%,6.87
Oman,2.0,84.0,2.38%,6.23
Lebanon,2.0,67.0,2.99%,6.16
Ukraine,2.0,54.0,3.70%,22.94
South Africa,2.0,31.0,6.45%,9.23
Netherlands,1.0,852.0,0.12%,6.74
Brazil,1.0,265.0,0.38%,23.09
China,1.0,256.0,0.39%,7.09
Philippines,1.0,160.0,0.62%,38.84
Switzerland,1.0,145.0,0.69%,24.51
Australia,1.0,128.0,0.78%,20.72
Hong Kong,1.0,124.0,0.81%,8.35
Belgium,1.0,110.0,0.91%,16.21
Thailand,1.0,87.0,1.15%,27.63
Bangladesh,1.0,84.0,1.19%,28.52
Jordan,1.0,79.0,1.27%,19.14
Argentina,1.0,62.0,1.61%,13.65
Algeria,1.0,48.0,2.08%,22.38
Denmark,1.0,46.0,2.17%,14.26
Sweden,1.0,44.0,2.27%,16.52
Yemen,1.0,38.0,2.63%,5.24
Nigeria,1.0,29.0,3.45%,11.72
Ireland,1.0,28.0,3.57%,4.79
Kenya,1.0,25.0,4.00%,15.04
Finland,1.0,22.0,4.55%,14.68
Bulgaria,1.0,12.0,8.33%,21.58
Somalia,1.0,7.0,14.29%,5.29
Cyprus,1.0,5.0,20.00%,9.8
Togo,1.0,5.0,20.00%,14.4
