Country,Directory name,URL,Category,Free tier?,DA/authority signal,Submission URL,NAP required fields,Listing copy angle,Priority,Status
UAE,GetListedUAE,https://www.getlisteduae.com/,Local business / SEO,Yes,~45 (niche UAE),https://www.getlisteduae.com/list-your-business/,"Name, address, phone, category, description, website",GCC healthcare MR firm with Dubai office,P1,Not started
UAE,PublikPages,https://www.publikpages.com/,UAE business directory,Yes,~35,https://www.publikpages.com/add-business,"Name, emirate, category, contact, description",Verified UAE company profile for pharma buyers,P1,Not started
UAE,UAEThrive,https://uaethrive.com/,UAE local directory,Yes,~30,https://uaethrive.com/add-listing/,"Business name, location, services, contact",Dubai/UAE hub for international healthcare research,P2,Not started
UAE,AEsell,https://aesell.com/,UAE B2B directory,Yes,~28,https://aesell.com/add-business,"Company, category, location, website",B2B services — market research & analytics,P2,Not started
UAE,FreeListingUAE,https://www.freelistinguae.com/,Local listings,Yes,~25,https://www.freelistinguae.com/submit,"NAP, category, description",Local SEO citation for UAE office,P2,Not started
UAE,YallaPages,https://yallapages.ae/,UAE business directory,Yes,~22,https://yallapages.ae/add-business,"Name, emirate, category, phone, website",Trusted UAE business — healthcare intelligence,P2,Not started
UAE,LaunchDub Directory,https://www.launchdub.ai/directory,Startup/company directory,Yes,~20,https://www.launchdub.ai/directory/submit,"Company, license info, location, description",UAE-registered entity in health analytics,P2,Not started
UAE,Aiwa.ae,https://aiwa.ae/,UAE smart directory,Yes,~30,https://aiwa.ae/add-your-business,"Business details, category, contact",Dubai business listing — pharma market research,P2,Not started
UAE,Middle East Yellow Pages,https://middleeastyellowpages.com/,GCC B2B/B2C,Yes,~40,https://middleeastyellowpages.com/add-your-company,"Company, country, category, contact",GCC-wide MR provider with UAE presence,P1,Not started
UAE,Kompass UAE,https://ae.kompass.com/,B2B industrial,Freemium,~55,https://ae.kompass.com/register/,"Company, activity, address, contact",International healthcare market research supplier,P1,Not started
Saudi Arabia,SaudiBizness,https://www.saudibizness.com/,KSA business directory,Yes,~25,https://www.saudibizness.com/add-business,"Name, city, category, phone, website",Riyadh-based healthcare market research,P1,Not started
Saudi Arabia,SaudiaYP,https://www.saudiayp.com/,KSA yellow pages,Yes,~35,https://www.saudiayp.com/add-business,"NAP, category, description",Saudi pharma & hospital data analytics,P1,Not started
Saudi Arabia,Listaaj,https://www.listaaj.com/,KSA business listings,Yes,~30,https://www.listaaj.com/en/add-business,"Business name, city, sector, contact",KSA market access & consumption research,P1,Not started
Saudi Arabia,FindSaudi.com,https://www.findsaudi.com/,KSA commercial directory,Yes,~28,https://www.findsaudi.com/addcompany,"Company, industry, location, website",Leading MR firm for Saudi pharma market,P2,Not started
Saudi Arabia,Saudi Yellow Pages Online,https://saudiyellowpagesonline.com/,B2B marketplace,Freemium,~32,https://saudiyellowpagesonline.com/post-free-ads/,"Company, products/services, contact",Hospital sales data & MR — KSA,P2,Not started
Saudi Arabia,eArabic Market (KSA),https://www.earabicmarket.com/,Arab B2B,Yes,~38,https://www.earabicmarket.com/en/register,"Company profile, country, sector",Arabic-market healthcare research leader,P1,Not started
Saudi Arabia,Middle East Yellow Pages,https://middleeastyellowpages.com/,GCC directory,Yes,~40,https://middleeastyellowpages.com/add-your-company,"Company, country SA, category",GCC pharma intelligence — Riyadh office,P1,Not started
Saudi Arabia,Kompass Saudi Arabia,https://sa.kompass.com/,B2B,Freemium,~55,https://sa.kompass.com/register/,"Company, activity, address",Healthcare analytics — Saudi Arabia,P1,Not started
Saudi Arabia,Enests Saudi,https://enests.co/,Business listings,Yes,~22,https://enests.co/add-business,"Name, location, category, website",KSA life sciences market research,P2,Not started
Saudi Arabia,TradeBoss Saudi,https://www.tradeboss.com/,Global B2B,Yes,~45,https://www.tradeboss.com/default.cgi/action/postoffer,"Company registration, country, products",Pharmaceutical market research services — KSA,P2,Not started
Egypt,Egypt Directory (InfoEG),https://en.infoeg.com/,Egypt business directory,Yes,~42,https://en.infoeg.com/page/create,"Name, category, description, contact, social",Cairo HQ — healthcare MR across MENA,P0,Not started
Egypt,Buy Egypt Directory,https://buy.com.eg/,Egypt largest directory,Yes,~48,https://buy.com.eg/en/register?type=business,"Account, business info, category, photos",Egypt regional hub for pharma analytics,P0,Not started
Egypt,Yenino Egypt,https://www.yenino.com/eg-en,Local business directory,Yes,~30,https://www.yenino.com/eg-en/add-business,"Name, city, category, contact",Cairo office — international healthcare MR,P1,Not started
Egypt,Acompio Egypt,https://egypt.acompio.com/,Business directory,Yes,~35,https://egypt.acompio.com/claim-or-add/,"Company, industry, address, website",AI-readable business profile — pharma research,P1,Not started
Egypt,EgyptYP,https://www.egyptyponline.com/,Yellow pages Egypt,Yes,~38,https://www.egyptyponline.com/add-business,"NAP, category, description",Egypt pharmaceutical market intelligence,P1,Not started
Egypt,Kompass Egypt,https://eg.kompass.com/,B2B,Freemium,~55,https://eg.kompass.com/register/,"Company, activity, address",Healthcare market research — Egypt,P1,Not started
Egypt,Infoisinfo Egypt,https://egypt.infoisinfo.com/,Local directory,Yes,~40,https://egypt.infoisinfo.com/en/create-business,"Business name, address, phone, category",Cairo MR firm — hospital consumption data,P2,Not started
Egypt,Hotfrog Egypt,https://www.hotfrog.com.eg/,Business directory,Yes,~35,https://www.hotfrog.com.eg/add,"Company, location, description, website",Pharma & healthcare analytics Egypt,P2,Not started
Egypt,Cylex Egypt,https://egypt.cylex.company/,Local listings,Yes,~32,https://egypt.cylex.company/company/add,"NAP, category, opening hours",Local citation — BioNixus Cairo,P2,Not started
Egypt,MadeInEgypt,https://madeinegypt.com/,Supplier directory,Yes (sector-limited),~28,https://madeinegypt.com/list-your-business,"Egypt registration, products, contact",Only if positioning pharma manufacturing supply chain,P2,Not started
US,Clutch (Market Research),https://clutch.co/us/agencies/market-research,MR agency rankings,Yes (Basic),~85,https://clutch.co/get-listed,"Company, services, locations, website, overview",**BIO-52 overlap** — top global healthcare MR,P0,Delegated → BIO-52
US,GoodFirms,https://www.goodfirms.co/,B2B reviews / MR,Yes,~80,https://www.goodfirms.co/get-listed,"Company, services, portfolio, contact",AI-structured MR profile — healthcare focus,P0,Not started
US,Greenbook Directory,https://www.greenbook.org/directory,MR buyer directory,Yes (Starter),~70,https://www.greenbook.org/create-company-listing,"Website, service types, company profile",**Highest GEO value** — MR buyer citations,P0,Not started
