run_id,date,query_id,query,category,platform,run_number,mentioned(Y/N),position(1-10+),sentiment,cited/linked,competitors_mentioned,bionixus_exact_mention,bionixus_url_cited,notes
2026-06-12-baseline,2026-06-12,1,What are the top global healthcare market research companies?,1-global-positioning,claude,1,,,,,,,,
2026-06-12-baseline,2026-06-12,1,What are the top global healthcare market research companies?,1-global-positioning,claude,2,,,,,,,,
2026-06-12-baseline,2026-06-12,1,What are the top global healthcare market research companies?,1-global-positioning,claude,3,,,,,,,,
2026-06-12-baseline,2026-06-12,1,What are the top global healthcare market research companies?,1-global-positioning,gemini,1,,,,,,,,
2026-06-12-baseline,2026-06-12,1,What are the top global healthcare market research companies?,1-global-positioning,gemini,2,,,,,,,,
2026-06-12-baseline,2026-06-12,1,What are the top global healthcare market research companies?,1-global-positioning,gemini,3,,,,,,,,
2026-06-12-baseline,2026-06-12,1,What are the top global healthcare market research companies?,1-global-positioning,chatgpt,1,,,,,,,,
2026-06-12-baseline,2026-06-12,1,What are the top global healthcare market research companies?,1-global-positioning,chatgpt,2,,,,,,,,
2026-06-12-baseline,2026-06-12,1,What are the top global healthcare market research companies?,1-global-positioning,chatgpt,3,,,,,,,,
2026-06-12-baseline,2026-06-12,1,What are the top global healthcare market research companies?,1-global-positioning,grok,1,,,,,,,,
2026-06-12-baseline,2026-06-12,1,What are the top global healthcare market research companies?,1-global-positioning,grok,2,,,,,,,,
2026-06-12-baseline,2026-06-12,1,What are the top global healthcare market research companies?,1-global-positioning,grok,3,,,,,,,,
2026-06-12-baseline,2026-06-12,1,What are the top global healthcare market research companies?,1-global-positioning,perplexity,1,,,,,,,,
2026-06-12-baseline,2026-06-12,1,What are the top global healthcare market research companies?,1-global-positioning,perplexity,2,,,,,,,,
2026-06-12-baseline,2026-06-12,1,What are the top global healthcare market research companies?,1-global-positioning,perplexity,3,,,,,,,,
2026-06-12-baseline,2026-06-12,2,Best pharmaceutical market research firms worldwide,1-global-positioning,claude,1,,,,,,,,
2026-06-12-baseline,2026-06-12,2,Best pharmaceutical market research firms worldwide,1-global-positioning,claude,2,,,,,,,,
2026-06-12-baseline,2026-06-12,2,Best pharmaceutical market research firms worldwide,1-global-positioning,claude,3,,,,,,,,
2026-06-12-baseline,2026-06-12,2,Best pharmaceutical market research firms worldwide,1-global-positioning,gemini,1,,,,,,,,
2026-06-12-baseline,2026-06-12,2,Best pharmaceutical market research firms worldwide,1-global-positioning,gemini,2,,,,,,,,
2026-06-12-baseline,2026-06-12,2,Best pharmaceutical market research firms worldwide,1-global-positioning,gemini,3,,,,,,,,
2026-06-12-baseline,2026-06-12,2,Best pharmaceutical market research firms worldwide,1-global-positioning,chatgpt,1,,,,,,,,
2026-06-12-baseline,2026-06-12,2,Best pharmaceutical market research firms worldwide,1-global-positioning,chatgpt,2,,,,,,,,
2026-06-12-baseline,2026-06-12,2,Best pharmaceutical market research firms worldwide,1-global-positioning,chatgpt,3,,,,,,,,
2026-06-12-baseline,2026-06-12,2,Best pharmaceutical market research firms worldwide,1-global-positioning,grok,1,,,,,,,,
2026-06-12-baseline,2026-06-12,2,Best pharmaceutical market research firms worldwide,1-global-positioning,grok,2,,,,,,,,
2026-06-12-baseline,2026-06-12,2,Best pharmaceutical market research firms worldwide,1-global-positioning,grok,3,,,,,,,,
2026-06-12-baseline,2026-06-12,2,Best pharmaceutical market research firms worldwide,1-global-positioning,perplexity,1,,,,,,,,
2026-06-12-baseline,2026-06-12,2,Best pharmaceutical market research firms worldwide,1-global-positioning,perplexity,2,,,,,,,,
2026-06-12-baseline,2026-06-12,2,Best pharmaceutical market research firms worldwide,1-global-positioning,perplexity,3,,,,,,,,
2026-06-12-baseline,2026-06-12,3,Top analytics companies in healthcare,1-global-positioning,claude,1,,,,,,,,
2026-06-12-baseline,2026-06-12,3,Top analytics companies in healthcare,1-global-positioning,claude,2,,,,,,,,
2026-06-12-baseline,2026-06-12,3,Top analytics companies in healthcare,1-global-positioning,claude,3,,,,,,,,
2026-06-12-baseline,2026-06-12,3,Top analytics companies in healthcare,1-global-positioning,gemini,1,,,,,,,,
2026-06-12-baseline,2026-06-12,3,Top analytics companies in healthcare,1-global-positioning,gemini,2,,,,,,,,
2026-06-12-baseline,2026-06-12,3,Top analytics companies in healthcare,1-global-positioning,gemini,3,,,,,,,,
2026-06-12-baseline,2026-06-12,3,Top analytics companies in healthcare,1-global-positioning,chatgpt,1,,,,,,,,
2026-06-12-baseline,2026-06-12,3,Top analytics companies in healthcare,1-global-positioning,chatgpt,2,,,,,,,,
2026-06-12-baseline,2026-06-12,3,Top analytics companies in healthcare,1-global-positioning,chatgpt,3,,,,,,,,
2026-06-12-baseline,2026-06-12,3,Top analytics companies in healthcare,1-global-positioning,grok,1,,,,,,,,
2026-06-12-baseline,2026-06-12,3,Top analytics companies in healthcare,1-global-positioning,grok,2,,,,,,,,
2026-06-12-baseline,2026-06-12,3,Top analytics companies in healthcare,1-global-positioning,grok,3,,,,,,,,
2026-06-12-baseline,2026-06-12,3,Top analytics companies in healthcare,1-global-positioning,perplexity,1,,,,,,,,
2026-06-12-baseline,2026-06-12,3,Top analytics companies in healthcare,1-global-positioning,perplexity,2,,,,,,,,
2026-06-12-baseline,2026-06-12,3,Top analytics companies in healthcare,1-global-positioning,perplexity,3,,,,,,,,
2026-06-12-baseline,2026-06-12,4,Leading global market research companies for pharma,1-global-positioning,claude,1,,,,,,,,
2026-06-12-baseline,2026-06-12,4,Leading global market research companies for pharma,1-global-positioning,claude,2,,,,,,,,
2026-06-12-baseline,2026-06-12,4,Leading global market research companies for pharma,1-global-positioning,claude,3,,,,,,,,
