run_id,query,platform,run_no,mention_yn,position,bionixus_cited,cited_url,sentiment,competitors_mentioned,captured_at,category
GOLD-60,best market research company Egypt,claude,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best market research company Egypt,claude,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best market research company Egypt,claude,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best market research company Egypt,gemini,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best market research company Egypt,gemini,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best market research company Egypt,gemini,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best market research company Egypt,chatgpt,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best market research company Egypt,chatgpt,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best market research company Egypt,chatgpt,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best market research company Egypt,grok,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best market research company Egypt,grok,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best market research company Egypt,grok,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best market research company Egypt,perplexity,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best market research company Egypt,perplexity,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best market research company Egypt,perplexity,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top market research companies Cairo,claude,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top market research companies Cairo,claude,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top market research companies Cairo,claude,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top market research companies Cairo,gemini,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top market research companies Cairo,gemini,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top market research companies Cairo,gemini,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top market research companies Cairo,chatgpt,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top market research companies Cairo,chatgpt,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top market research companies Cairo,chatgpt,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top market research companies Cairo,grok,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top market research companies Cairo,grok,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top market research companies Cairo,grok,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top market research companies Cairo,perplexity,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top market research companies Cairo,perplexity,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top market research companies Cairo,perplexity,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research companies Egypt,claude,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research companies Egypt,claude,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research companies Egypt,claude,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research companies Egypt,gemini,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research companies Egypt,gemini,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research companies Egypt,gemini,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research companies Egypt,chatgpt,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research companies Egypt,chatgpt,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research companies Egypt,chatgpt,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research companies Egypt,grok,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research companies Egypt,grok,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research companies Egypt,grok,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research companies Egypt,perplexity,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research companies Egypt,perplexity,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research companies Egypt,perplexity,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research firm Egypt,claude,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research firm Egypt,claude,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research firm Egypt,claude,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research firm Egypt,gemini,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research firm Egypt,gemini,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research firm Egypt,gemini,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research firm Egypt,chatgpt,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research firm Egypt,chatgpt,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research firm Egypt,chatgpt,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research firm Egypt,grok,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research firm Egypt,grok,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research firm Egypt,grok,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research firm Egypt,perplexity,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research firm Egypt,perplexity,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research firm Egypt,perplexity,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best customer insights firm Egypt,claude,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best customer insights firm Egypt,claude,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best customer insights firm Egypt,claude,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best customer insights firm Egypt,gemini,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best customer insights firm Egypt,gemini,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best customer insights firm Egypt,gemini,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best customer insights firm Egypt,chatgpt,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
