Country,Clicks,Impressions,CTR,Position
Egypt,144,3464,4.16%,7.58
India,138,13232,1.04%,34.17
United Arab Emirates,113,6646,1.7%,14.34
Kuwait,55,2671,2.06%,7.53
United Kingdom,52,6853,0.76%,39.83
Saudi Arabia,47,8639,0.54%,41.99
United States,33,55520,0.06%,15.63
Qatar,29,1577,1.84%,8.17
Bahrain,21,809,2.6%,6.18
Germany,20,4199,0.48%,17.93
Oman,20,978,2.04%,7.67
France,15,895,1.68%,9.07
Pakistan,14,709,1.97%,7.86
Canada,13,1848,0.7%,8.64
Singapore,12,2405,0.5%,24.05
China,10,809,1.24%,6.71
Turkey,10,448,2.23%,8.37
Spain,7,813,0.86%,22.83
Lebanon,7,156,4.49%,5.73
Kenya,7,109,6.42%,7.56
Australia,6,556,1.08%,18.19
Nigeria,6,158,3.8%,7.04
Iran,6,157,3.82%,6.49
Sweden,6,151,3.97%,14.88
Sri Lanka,6,60,10%,5.43
South Korea,5,894,0.56%,16.41
Switzerland,5,662,0.76%,29.78
Jordan,5,329,1.52%,8.05
Bangladesh,5,215,2.33%,8.81
Denmark,5,139,3.6%,15.27
Ireland,5,138,3.62%,9.72
Malaysia,4,282,1.42%,10.98
Iraq,4,267,1.5%,9.66
Japan,3,2348,0.13%,38.54
Italy,3,956,0.31%,7.07
Indonesia,3,350,0.86%,10.33
Hong Kong,3,247,1.21%,6.79
Belgium,3,180,1.67%,15.74
Algeria,3,138,2.17%,8.74
Palestine,3,36,8.33%,6.67
Brazil,2,846,0.24%,7.12
Poland,2,170,1.18%,6.19
Tunisia,2,128,1.56%,9.06
South Africa,2,126,1.59%,10.48
Austria,2,110,1.82%,18.63
Yemen,2,107,1.87%,6.7
Czechia,2,78,2.56%,18.21
Nepal,2,51,3.92%,8.04
Syria,2,41,4.88%,7.41
Mauritius,2,13,15.38%,9
Netherlands,1,2556,0.04%,7.21
Vietnam,1,528,0.19%,10.9
Philippines,1,297,0.34%,9.38
Russia,1,250,0.4%,8.56
Argentina,1,218,0.46%,10.87
Thailand,1,173,0.58%,9.16
Colombia,1,160,0.62%,10.64
Greece,1,124,0.81%,7.13
Israel,1,90,1.11%,7.81
Finland,1,86,1.16%,18.63
Portugal,1,80,1.25%,7.34
Romania,1,71,1.41%,7.85
Ethiopia,1,48,2.08%,15.85
Uzbekistan,1,38,2.63%,11.61
Georgia,1,36,2.78%,6.03
Uganda,1,23,4.35%,6.52
Luxembourg,1,15,6.67%,31.2
Estonia,1,14,7.14%,7.86
Macedonia,1,9,11.11%,8.56
Zimbabwe,1,9,11.11%,15.67
Mexico,0,301,0%,9.01
Ukraine,0,180,0%,10.24
Taiwan,0,163,0%,9.72
Morocco,0,155,0%,9.01
Lithuania,0,75,0%,16.31
Ecuador,0,69,0%,10.25
Chile,0,64,0%,12.69
Norway,0,63,0%,17.68
Peru,0,57,0%,10.56
Venezuela,0,51,0%,12.02
Hungary,0,50,0%,6.74
New Zealand,0,50,0%,10.56
Bulgaria,0,44,0%,8.57
Azerbaijan,0,44,0%,8.84
Unknown Region,0,38,0%,4.5
Serbia,0,35,0%,4.94
Dominican Republic,0,35,0%,8.94
Belarus,0,34,0%,12.41
Cyprus,0,33,0%,7.33
Paraguay,0,32,0%,7.84
Costa Rica,0,31,0%,13.35
Kazakhstan,0,30,0%,7.27
Afghanistan,0,29,0%,6.28
Libya,0,29,0%,7.83
Slovakia,0,26,0%,4.73
Botswana,0,25,0%,5.36
Jamaica,0,24,0%,9.33
Albania,0,22,0%,9.14
Croatia,0,21,0%,8.76
Uruguay,0,20,0%,12.75
Sudan,0,19,0%,7.26
Myanmar (Burma),0,19,0%,9.68
Senegal,0,19,0%,12.26
Cambodia,0,19,0%,19.68
Malta,0,18,0%,5.33
Moldova,0,18,0%,6
Tanzania,0,17,0%,6.24
Bolivia,0,17,0%,8.88
Slovenia,0,17,0%,8.94
Panama,0,17,0%,9.82
Ghana,0,16,0%,9.69
Armenia,0,15,0%,6.73
Latvia,0,15,0%,8.8
Honduras,0,14,0%,6.86
Puerto Rico,0,14,0%,9.71
Cuba,0,13,0%,5.92
Bosnia & Herzegovina,0,13,0%,6.62
Somalia,0,13,0%,7.31
Iceland,0,12,0%,6
Cameroon,0,11,0%,6.82
Trinidad & Tobago,0,11,0%,11.55
Congo - Kinshasa,0,10,0%,5.9
Bahamas,0,10,0%,8.4
Côte d’Ivoire,0,10,0%,9.1
Zambia,0,9,0%,5.44
Mongolia,0,9,0%,6.33
Kyrgyzstan,0,9,0%,10.33
Rwanda,0,8,0%,6.12
Tajikistan,0,8,0%,7.75
Kosovo,0,8,0%,9.12
Guatemala,0,8,0%,11.38
El Salvador,0,8,0%,11.88
Barbados,0,6,0%,6
Maldives,0,6,0%,7.67
Mozambique,0,6,0%,8.33
Montenegro,0,6,0%,9
Nicaragua,0,6,0%,19.17
Namibia,0,5,0%,4
Guyana,0,5,0%,5.2
Congo - Brazzaville,0,5,0%,9.8
Brunei,0,5,0%,12.8
Gabon,0,5,0%,16.6
Haiti,0,4,0%,5.25
Djibouti,0,3,0%,3.67
Benin,0,3,0%,5.33
Macau,0,3,0%,5.67
Guadeloupe,0,3,0%,6
St. Kitts & Nevis,0,3,0%,6
Bhutan,0,3,0%,7
Togo,0,3,0%,8.67
Angola,0,3,0%,11.67
Fiji,0,2,0%,1
Burkina Faso,0,2,0%,2
Comoros,0,2,0%,2
Jersey,0,2,0%,3
Mauritania,0,2,0%,3.5
Suriname,0,2,0%,4
St. Lucia,0,2,0%,5
Seychelles,0,2,0%,5.5
Madagascar,0,2,0%,7
Guam,0,1,0%,1
Papua New Guinea,0,1,0%,1
South Sudan,0,1,0%,1
Antigua & Barbuda,0,1,0%,2
Central African Republic,0,1,0%,3
Timor-Leste,0,1,0%,3
Solomon Islands,0,1,0%,4
St. Vincent & Grenadines,0,1,0%,4
Laos,0,1,0%,5
Aruba,0,1,0%,6
Bermuda,0,1,0%,6
Cook Islands,0,1,0%,7
Turks & Caicos Islands,0,1,0%,7
Burundi,0,1,0%,8
Gibraltar,0,1,0%,8
Mali,0,1,0%,8
Faroe Islands,0,1,0%,9
Malawi,0,1,0%,9
Swaziland,0,1,0%,9
Andorra,0,1,0%,10
Curaçao,0,1,0%,10
Greenland,0,1,0%,10
Guinea,0,1,0%,19
Gambia,0,1,0%,21
San Marino,0,1,0%,100
